Ticker,Sector
SPG,REITS
СCI,REITS
NEE,Utilities
RDS-A,Energy
XOM,Energy
QCOM,Technology
MSFT,Technology
INTC,Technology
ATVI,Technology
UNH,Health Care
ABBV,Health Care
BMY,Health Care
GILD,Health Care
PEP,Consumer Staples
AMZN,Consumer Discretionary
NKE,Consumer Discretionary
FB,Communication Services
DIS,Communication Services
T,Communication Services
GOOGL,Communication Services
BA,Industrials
LMT,Industrials
JPM,Financials
MA,Financials
PYPL,Financials
MMM,Materials
DD,Materials
